PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
DeMarre Carroll,2014,27,73.00,37.00,36.00,32.10,58.30,41.70,50.60,7.40,35.90,22.00,13.50,21.50,43.20,70.70,29.30,93.80,6.20,78.10,21.90
DeMarre Carroll,2015,28,70.00,53.00,17.00,31.30,53.40,46.60,44.80,5.90,40.80,18.80,14.40,23.90,39.00,72.70,27.30,99.20,0.80,82.70,17.30
DeMarre Carroll,2016,29,26.00,16.00,10.00,30.20,56.30,43.70,41.30,4.90,48.30,18.20,10.50,24.50,36.40,54.20,45.80,95.70,4.30,72.40,27.60
DeMarre Carroll,2017,30,72.00,44.00,28.00,26.10,41.80,58.20,34.80,6.60,51.30,18.20,13.90,19.30,28.20,58.60,41.40,95.40,4.60,76.80,23.20
DeMarre Carroll,2018,31,73.00,25.00,48.00,29.90,50.20,49.80,36.60,3.50,44.30,13.90,19.10,14.00,33.20,46.10,53.90,93.10,6.90,67.10,32.90
DeMarre Carroll,2019,32,67.00,36.00,31.00,25.40,46.10,53.90,32.50,3.50,42.70,18.00,24.70,15.60,29.00,62.00,38.00,96.20,3.80,78.00,22.00
DeVaughn Akoon-Purcell,2019,26,7.00,7.00,0.00,3.10,60.00,40.00,85.70,0.00,0.00,0.00,14.30,0.00,85.70,66.70,33.30,0.00,0.00,66.70,33.30
Deandre Ayton,2019,20,71.00,17.00,54.00,30.70,99.50,0.50,87.80,15.70,0.00,5.40,12.20,13.90,72.10,71.10,28.90,0.00,0.00,71.10,28.90
Dejounte Murray,2017,20,38.00,29.00,9.00,8.50,80.20,19.80,63.10,3.10,20.80,16.90,16.20,20.00,60.00,41.50,58.50,88.90,11.10,50.00,50.00
Dejounte Murray,2018,21,81.00,47.00,34.00,21.50,94.40,5.60,79.80,14.70,4.10,19.10,16.10,18.30,65.10,32.60,67.40,100.00,0.00,34.80,65.20
Delon Wright,2016,24,27.00,19.00,8.00,8.50,83.80,16.30,60.20,5.80,14.60,19.40,25.20,6.80,54.40,16.10,83.90,20.00,80.00,16.70,83.30
Delon Wright,2017,25,27.00,19.00,8.00,16.50,74.10,25.90,52.00,1.30,20.00,17.30,28.00,24.00,50.70,12.80,87.20,60.00,40.00,22.40,77.60
Delon Wright,2018,26,69.00,49.00,20.00,20.80,64.60,35.40,52.30,2.20,30.30,20.40,17.50,21.80,50.10,24.80,75.20,78.60,21.40,39.80,60.20
Delon Wright,2019,27,75.00,45.00,30.00,22.60,69.90,30.10,58.80,2.10,23.00,19.60,18.20,17.60,56.70,32.30,67.70,76.00,24.00,41.30,58.70
Demetrius Jackson,2017,22,5.00,1.00,4.00,3.40,75.00,25.00,40.00,20.00,30.00,20.00,30.00,30.00,20.00,50.00,50.00,100.00,0.00,66.70,33.30
Demetrius Jackson,2018,23,15.00,12.00,3.00,5.30,61.10,38.90,75.00,0.00,18.80,0.00,6.30,25.00,75.00,16.70,83.30,0.00,100.00,14.30,85.70
Demetrius Jackson,2019,24,6.00,5.00,1.00,6.60,60.00,40.00,54.50,18.20,27.30,40.90,18.20,22.70,36.40,50.00,50.00,100.00,0.00,62.50,37.50
Deng Adel,2019,22,19.00,4.00,15.00,10.20,36.10,63.90,31.30,12.50,56.30,0.00,12.50,15.60,18.80,60.00,40.00,100.00,0.00,81.80,18.20
Dennis Schroder,2014,20,49.00,21.00,28.00,13.10,77.70,22.30,67.80,13.10,16.40,14.80,15.80,17.50,54.60,33.90,66.10,90.00,10.00,41.70,58.30
Dennis Schroder,2015,21,77.00,57.00,20.00,19.70,77.70,22.30,60.40,14.10,20.30,7.40,19.30,16.00,46.40,20.70,79.30,67.30,32.70,29.20,70.80
